25 600
0 1 724
0 2 687
0 3 377
0 4 11
0 5 631
0 6 313
0 7 411
0 8 287
0 9 817
0 10 128
0 11 645
0 12 364
0 13 847
0 14 153
0 15 551
0 16 87
0 17 813
0 18 26
0 19 937
0 20 274
0 21 794
0 22 429
0 23 393
0 24 301
1 0 724
1 2 493
1 3 569
1 4 40
1 5 178
1 6 758
1 7 803
1 8 74
1 9 916
1 10 197
1 11 813
1 12 167
1 13 384
1 14 319
1 15 797
1 16 8
1 17 563
1 18 316
1 19 821
1 20 8
1 21 131
1 22 285
1 23 920
1 24 703
2 0 687
2 1 493
2 3 345
2 4 933
2 5 580
2 6 409
2 7 769
2 8 862
2 9 118
2 10 120
2 11 89
2 12 914
2 13 163
2 14 235
2 15 452
2 16 109
2 17 745
2 18 613
2 19 336
2 20 57
2 21 249
2 22 754
2 23 491
2 24 288
3 0 377
3 1 569
3 2 345
3 4 757
3 5 906
3 6 52
3 7 315
3 8 250
3 9 269
3 10 808
3 11 906
3 12 248
3 13 90
3 14 908
3 15 177
3 16 18
3 17 653
3 18 136
3 19 575
3 20 495
3 21 369
3 22 627
3 23 508
3 24 497
4 0 11
4 1 40
4 2 933
4 3 757
4 5 966
4 6 136
4 7 790
4 8 961
4 9 340
4 10 584
4 11 518
4 12 865
4 13 895
4 14 296
4 15 716
4 16 284
4 17 852
4 18 547
4 19 316
4 20 325
4 21 729
4 22 762
4 23 948
4 24 642
5 0 631
5 1 178
5 2 580
5 3 906
5 4 966
5 6 734
5 7 757
5 8 72
5 9 928
5 10 358
5 11 875
5 12 803
5 13 923
5 14 597
5 15 201
5 16 97
5 17 779
5 18 226
5 19 421
5 20 265
5 21 369
5 22 819
5 23 692
5 24 820
6 0 313
6 1 758
6 2 409
6 3 52
6 4 136
6 5 734
6 7 561
6 8 260
6 9 625
6 10 72
6 11 277
6 12 116
6 13 320
6 14 171
6 15 537
6 16 606
6 17 590
6 18 47
6 19 806
6 20 494
6 21 595
6 22 566
6 23 109
6 24 666
7 0 411
7 1 803
7 2 769
7 3 315
7 4 790
7 5 757
7 6 561
7 8 516
7 9 216
7 10 553
7 11 241
7 12 706
7 13 679
7 14 530
7 15 197
7 16 574
7 17 143
7 18 624
7 19 114
7 20 26
7 21 284
7 22 421
7 23 276
7 24 850
8 0 287
8 1 74
8 2 862
8 3 250
8 4 961
8 5 72
8 6 260
8 7 516
8 9 767
8 10 883
8 11 965
8 12 687
8 13 906
8 14 894
8 15 892
8 16 804
8 17 380
8 18 118
8 19 458
8 20 956
8 21 751
8 22 918
8 23 78
8 24 482
9 0 817
9 1 916
9 2 118
9 3 269
9 4 340
9 5 928
9 6 625
9 7 216
9 8 767
9 10 247
9 11 229
9 12 325
9 13 912
9 14 920
9 15 543
9 16 758
9 17 933
9 18 256
9 19 368
9 20 354
9 21 40
9 22 658
9 23 651
9 24 296
10 0 128
10 1 197
10 2 120
10 3 808
10 4 584
10 5 358
10 6 72
10 7 553
10 8 883
10 9 247
10 11 396
10 12 111
10 13 487
10 14 194
10 15 424
10 16 904
10 17 975
10 18 805
10 19 350
10 20 991
10 21 494
10 22 933
10 23 133
10 24 438
11 0 645
11 1 813
11 2 89
11 3 906
11 4 518
11 5 875
11 6 277
11 7 241
11 8 965
11 9 229
11 10 396
11 12 514
11 13 140
11 14 675
11 15 622
11 16 477
11 17 578
11 18 977
11 19 618
11 20 297
11 21 138
11 22 326
11 23 314
11 24 488
12 0 364
12 1 167
12 2 914
12 3 248
12 4 865
12 5 803
12 6 116
12 7 706
12 8 687
12 9 325
12 10 111
12 11 514
12 13 350
12 14 215
12 15 183
12 16 43
12 17 673
12 18 989
12 19 956
12 20 756
12 21 536
12 22 904
12 23 581
12 24 708
13 0 847
13 1 384
13 2 163
13 3 90
13 4 895
13 5 923
13 6 320
13 7 679
13 8 906
13 9 912
13 10 487
13 11 140
13 12 350
13 14 109
13 15 721
13 16 845
13 17 63
13 18 11
13 19 932
13 20 501
13 21 547
13 22 728
13 23 981
13 24 225
14 0 153
14 1 319
14 2 235
14 3 908
14 4 296
14 5 597
14 6 171
14 7 530
14 8 894
14 9 920
14 10 194
14 11 675
14 12 215
14 13 109
14 15 182
14 16 786
14 17 16
14 18 488
14 19 534
14 20 558
14 21 122
14 22 229
14 23 404
14 24 390
15 0 551
15 1 797
15 2 452
15 3 177
15 4 716
15 5 201
15 6 537
15 7 197
15 8 892
15 9 543
15 10 424
15 11 622
15 12 183
15 13 721
15 14 182
15 16 178
15 17 927
15 18 366
15 19 76
15 20 545
15 21 427
15 22 965
15 23 934
15 24 261
16 0 87
16 1 8
16 2 109
16 3 18
16 4 284
16 5 97
16 6 606
16 7 574
16 8 804
