12 132
0 1 662
0 2 224
0 3 158
0 4 311
0 5 376
0 6 949
0 7 523
0 8 703
0 9 547
0 10 630
0 11 327
1 0 662
1 2 138
1 3 756
1 4 493
1 5 796
1 6 84
1 7 996
1 8 127
1 9 178
1 10 581
1 11 422
2 0 224
2 1 138
2 3 209
2 4 733
2 5 798
2 6 467
2 7 267
2 8 108
2 9 189
2 10 34
2 11 300
3 0 158
3 1 756
3 2 209
3 4 130
3 5 953
3 6 439
3 7 631
3 8 592
3 9 682
3 10 52
3 11 313
4 0 311
4 1 493
4 2 733
4 3 130
4 5 361
4 6 705
4 7 27
4 8 302
4 9 994
4 10 616
4 11 804
5 0 376
5 1 796
5 2 798
5 3 953
5 4 361
5 6 231
5 7 836
5 8 138
5 9 842
5 10 191
5 11 946
6 0 949
6 1 84
6 2 467
6 3 439
6 4 705
6 5 231
6 7 278
6 8 586
6 9 364
6 10 318
6 11 706
7 0 523
7 1 996
7 2 267
7 3 631
7 4 27
7 5 836
7 6 278
7 8 622
7 9 642
7 10 110
7 11 196
8 0 703
8 1 127
8 2 108
8 3 592
8 4 302
8 5 138
8 6 586
8 7 622
8 9 824
8 10 71
8 11 580
9 0 547
9 1 178
9 2 189
9 3 682
9 4 994
9 5 842
9 6 364
9 7 642
9 8 824
9 10 83
9 11 398
10 0 630
10 1 581
10 2 34
10 3 52
10 4 616
10 5 191
10 6 318
10 7 110
10 8 71
10 9 83
10 11 919
11 0 327
11 1 422
11 2 300
11 3 313
11 4 804
11 5 946
11 6 706
11 7 196
11 8 580
11 9 398
11 10 919
2
