10 90
0 1 578
0 2 966
0 3 678
0 4 953
0 5 619
0 6 514
0 7 645
0 8 877
0 9 380
1 0 578
1 2 668
1 3 500
1 4 392
1 5 683
1 6 193
1 7 483
1 8 139
1 9 247
2 0 966
2 1 668
2 3 518
2 4 263
2 5 776
2 6 597
2 7 824
2 8 601
2 9 710
3 0 678
3 1 500
3 2 518
3 4 965
3 5 952
3 6 217
3 7 173
3 8 64
3 9 530
4 0 953
4 1 392
4 2 263
4 3 965
4 5 602
4 6 82
4 7 859
4 8 444
4 9 481
5 0 619
5 1 683
5 2 776
5 3 952
5 4 602
5 6 741
5 7 295
5 8 520
5 9 198
6 0 514
6 1 193
6 2 597
6 3 217
6 4 82
6 5 741
6 7 125
6 8 568
6 9 356
7 0 645
7 1 483
7 2 824
7 3 173
7 4 859
7 5 295
7 6 125
7 8 107
7 9 838
8 0 877
8 1 139
8 2 601
8 3 64
8 4 444
8 5 520
8 6 568
8 7 107
8 9 628
9 0 380
9 1 247
9 2 710
9 3 530
9 4 481
9 5 198
9 6 356
9 7 838
9 8 628
7
