14 182
0 1 673
0 2 800
0 3 322
0 4 438
0 5 982
0 6 89
0 7 823
0 8 293
0 9 505
0 10 20
0 11 125
0 12 153
0 13 864
1 0 673
1 2 57
1 3 392
1 4 343
1 5 496
1 6 328
1 7 80
1 8 802
1 9 47
1 10 798
1 11 831
1 12 338
1 13 103
2 0 800
2 1 57
2 3 424
2 4 380
2 5 709
2 6 725
2 7 836
2 8 224
2 9 7
2 10 300
2 11 478
2 12 944
2 13 296
3 0 322
3 1 392
3 2 424
3 4 472
3 5 516
3 6 482
3 7 854
3 8 391
3 9 371
3 10 64
3 11 961
3 12 232
3 13 172
4 0 438
4 1 343
4 2 380
4 3 472
4 5 310
4 6 177
4 7 141
4 8 144
4 9 796
4 10 489
4 11 399
4 12 327
4 13 688
5 0 982
5 1 496
5 2 709
5 3 516
5 4 310
5 6 154
5 7 983
5 8 816
5 9 8
5 10 39
5 11 336
5 12 130
5 13 604
6 0 89
6 1 328
6 2 725
6 3 482
6 4 177
6 5 154
6 7 23
6 8 216
6 9 981
6 10 705
6 11 819
6 12 50
6 13 318
7 0 823
7 1 80
7 2 836
7 3 854
7 4 141
7 5 983
7 6 23
7 8 151
7 9 820
7 10 738
7 11 458
7 12 215
7 13 715
8 0 293
8 1 802
8 2 224
8 3 391
8 4 144
8 5 816
8 6 216
8 7 151
8 9 578
8 10 718
8 11 587
8 12 677
8 13 782
9 0 505
9 1 47
9 2 7
9 3 371
9 4 796
9 5 8
9 6 981
9 7 820
9 8 578
9 10 942
9 11 471
9 12 130
9 13 42
10 0 20
10 1 798
10 2 300
10 3 64
10 4 489
10 5 39
10 6 705
10 7 738
10 8 718
10 9 942
10 11 68
10 12 581
10 13 554
11 0 125
11 1 831
11 2 478
11 3 961
11 4 399
11 5 336
11 6 819
11 7 458
11 8 587
11 9 471
11 10 68
11 12 885
11 13 15
12 0 153
12 1 338
12 2 944
12 3 232
12 4 327
12 5 130
12 6 50
12 7 215
12 8 677
12 9 130
12 10 581
12 11 885
12 13 688
13 0 864
13 1 103
13 2 296
13 3 172
13 4 688
13 5 604
13 6 318
13 7 715
13 8 782
13 9 42
13 10 554
13 11 15
13 12 688
8
