15 210
0 1 125
0 2 254
0 3 484
0 4 188
0 5 850
0 6 15
0 7 466
0 8 479
0 9 677
0 10 133
0 11 683
0 12 427
0 13 28
0 14 70
1 0 125
1 2 966
1 3 156
1 4 392
1 5 382
1 6 18
1 7 195
1 8 185
1 9 267
1 10 548
1 11 864
1 12 159
1 13 853
1 14 677
2 0 254
2 1 966
2 3 34
2 4 69
2 5 313
2 6 267
2 7 443
2 8 456
2 9 546
2 10 375
2 11 874
2 12 65
2 13 396
2 14 425
3 0 484
3 1 156
3 2 34
3 4 967
3 5 571
3 6 366
3 7 252
3 8 202
3 9 267
3 10 75
3 11 214
3 12 152
3 13 311
3 14 806
4 0 188
4 1 392
4 2 69
4 3 967
4 5 947
4 6 705
4 7 558
4 8 202
4 9 159
4 10 456
4 11 992
4 12 450
4 13 463
4 14 232
5 0 850
5 1 382
5 2 313
5 3 571
5 4 947
5 6 481
5 7 823
5 8 584
5 9 696
5 10 764
5 11 384
5 12 218
5 13 440
5 14 948
6 0 15
6 1 18
6 2 267
6 3 366
6 4 705
6 5 481
6 7 978
6 8 364
6 9 320
6 10 463
6 11 803
6 12 120
6 13 748
6 14 860
7 0 466
7 1 195
7 2 443
7 3 252
7 4 558
7 5 823
7 6 978
7 8 240
7 9 290
7 10 703
7 11 24
7 12 603
7 13 653
7 14 979
8 0 479
8 1 185
8 2 456
8 3 202
8 4 202
8 5 584
8 6 364
8 7 240
8 9 93
8 10 286
8 11 759
8 12 132
8 13 342
8 14 904
9 0 677
9 1 267
9 2 546
9 3 267
9 4 159
9 5 696
9 6 320
9 7 290
9 8 93
9 10 905
9 11 829
9 12 910
9 13 784
9 14 903
10 0 133
10 1 548
10 2 375
10 3 75
10 4 456
10 5 764
10 6 463
10 7 703
10 8 286
10 9 905
10 11 44
10 12 56
10 13 225
10 14 439
11 0 683
11 1 864
11 2 874
11 3 214
11 4 992
11 5 384
11 6 803
11 7 24
11 8 759
11 9 829
11 10 44
11 12 598
11 13 994
11 14 696
12 0 427
12 1 159
12 2 65
12 3 152
12 4 450
12 5 218
12 6 120
12 7 603
12 8 132
12 9 910
12 10 56
12 11 598
12 13 248
12 14 173
13 0 28
13 1 853
13 2 396
13 3 311
13 4 463
13 5 440
13 6 748
13 7 653
13 8 342
13 9 784
13 10 225
13 11 994
13 12 248
13 14 525
14 0 70
14 1 677
14 2 425
14 3 806
14 4 232
14 5 948
14 6 860
14 7 979
14 8 904
14 9 903
14 10 439
14 11 696
14 12 173
14 13 525
4
