25 600
0 1 10
0 2 47
0 3 15
0 4 60
0 5 32
0 6 39
0 7 98
0 8 56
0 9 40
0 10 25
0 11 75
0 12 44
0 13 75
0 14 61
0 15 94
0 16 78
0 17 77
0 18 21
0 19 41
0 20 48
0 21 48
0 22 72
0 23 87
0 24 87
1 0 10
1 2 63
1 3 5
1 4 89
1 5 8
1 6 1
1 7 48
1 8 16
1 9 94
1 10 72
1 11 7
1 12 94
1 13 43
1 14 100
1 15 88
1 16 22
1 17 80
1 18 58
1 19 78
1 20 80
1 21 17
1 22 49
1 23 89
1 24 78
2 0 47
2 1 63
2 3 69
2 4 28
2 5 35
2 6 88
2 7 65
2 8 31
2 9 2
2 10 68
2 11 100
2 12 97
2 13 50
2 14 86
2 15 51
2 16 76
2 17 9
2 18 2
2 19 60
2 20 32
2 21 89
2 22 83
2 23 63
2 24 84
3 0 15
3 1 5
3 2 69
3 4 3
3 5 89
3 6 8
3 7 34
3 8 82
3 9 50
3 10 18
3 11 30
3 12 30
3 13 24
3 14 23
3 15 91
3 16 95
3 17 63
3 18 18
3 19 57
3 20 12
3 21 88
3 22 72
3 23 19
3 24 86
4 0 60
4 1 89
4 2 28
4 3 3
4 5 23
4 6 70
4 7 58
4 8 64
4 9 14
4 10 34
4 11 54
4 12 15
4 13 89
4 14 19
4 15 54
4 16 59
4 17 1
4 18 4
4 19 94
4 20 100
4 21 93
4 22 36
4 23 92
4 24 81
5 0 32
5 1 8
5 2 35
5 3 89
5 4 23
5 6 47
5 7 7
5 8 18
5 9 90
5 10 47
5 11 61
5 12 54
5 13 92
5 14 87
5 15 68
5 16 35
5 17 28
5 18 82
5 19 59
5 20 82
5 21 59
5 22 46
5 23 3
5 24 76
6 0 39
6 1 1
6 2 88
6 3 8
6 4 70
6 5 47
6 7 59
6 8 39
6 9 62
6 10 92
6 11 58
6 12 79
6 13 97
6 14 100
6 15 21
6 16 92
6 17 27
6 18 98
6 19 18
6 20 78
6 21 15
6 22 15
6 23 30
6 24 37
7 0 98
7 1 48
7 2 65
7 3 34
7 4 58
7 5 7
7 6 59
7 8 55
7 9 48
7 10 84
7 11 80
7 12 1
7 13 70
7 14 89
7 15 6
7 16 72
7 17 22
7 18 7
7 19 35
7 20 86
7 21 4
7 22 7
7 23 80
7 24 73
8 0 56
8 1 16
