10 90
0 1 22
0 2 72
0 3 75
0 4 40
0 5 84
0 6 44
0 7 95
0 8 33
0 9 53
1 0 22
1 2 64
1 3 63
1 4 28
1 5 37
1 6 29
1 7 85
1 8 90
1 9 56
2 0 72
2 1 64
2 3 79
2 4 12
2 5 3
2 6 42
2 7 24
2 8 92
2 9 78
3 0 75
3 1 63
3 2 79
3 4 82
3 5 95
3 6 51
3 7 61
3 8 10
3 9 88
4 0 40
4 1 28
4 2 12
4 3 82
4 5 79
4 6 53
4 7 26
4 8 6
4 9 39
5 0 84
5 1 37
5 2 3
5 3 95
5 4 79
5 6 70
5 7 9
5 8 91
5 9 50
6 0 44
6 1 29
6 2 42
6 3 51
6 4 53
6 5 70
6 7 49
6 8 99
6 9 28
7 0 95
7 1 85
7 2 24
7 3 61
7 4 26
7 5 9
7 6 49
7 8 63
7 9 41
8 0 33
8 1 90
8 2 92
8 3 10
8 4 6
8 5 91
8 6 99
8 7 63
8 9 33
9 0 53
9 1 56
9 2 78
9 3 88
9 4 39
9 5 50
9 6 28
9 7 41
9 8 33
1
