13 156
0 1 44
0 2 19
0 3 75
0 4 79
0 5 91
0 6 15
0 7 5
0 8 69
0 9 88
0 10 22
0 11 19
0 12 95
1 0 44
1 2 66
1 3 43
1 4 76
1 5 22
1 6 84
1 7 61
1 8 90
1 9 35
1 10 86
1 11 2
1 12 100
2 0 19
2 1 66
2 3 16
2 4 54
2 5 86
2 6 83
2 7 81
2 8 38
2 9 92
2 10 35
2 11 63
2 12 34
3 0 75
3 1 43
3 2 16
3 4 16
3 5 18
3 6 31
3 7 45
3 8 94
3 9 56
3 10 31
3 11 49
3 12 59
4 0 79
4 1 76
4 2 54
4 3 16
4 5 97
4 6 56
4 7 53
4 8 56
4 9 87
4 10 100
4 11 96
4 12 45
5 0 91
5 1 22
5 2 86
5 3 18
5 4 97
5 6 15
5 7 66
5 8 41
5 9 74
5 10 7
5 11 66
5 12 50
6 0 15
6 1 84
6 2 83
6 3 31
6 4 56
6 5 15
6 7 6
6 8 89
6 9 77
6 10 97
6 11 42
6 12 35
7 0 5
7 1 61
7 2 81
7 3 45
7 4 53
7 5 66
7 6 6
7 8 48
7 9 93
7 10 10
7 11 85
7 12 73
8 0 69
8 1 90
8 2 38
8 3 94
8 4 56
8 5 41
8 6 89
8 7 48
8 9 19
8 10 72
8 11 29
8 12 30
9 0 88
9 1 35
9 2 92
9 3 56
9 4 87
9 5 74
9 6 77
9 7 93
9 8 19
9 10 100
9 11 57
9 12 49
10 0 22
10 1 86
10 2 35
10 3 31
10 4 100
10 5 7
10 6 97
10 7 10
10 8 72
10 9 100
10 11 96
10 12 36
11 0 19
11 1 2
11 2 63
11 3 49
11 4 96
11 5 66
11 6 42
11 7 85
11 8 29
11 9 57
11 10 96
11 12 85
12 0 95
12 1 100
12 2 34
12 3 59
12 4 45
12 5 50
12 6 35
12 7 73
12 8 30
12 9 49
12 10 36
12 11 85
8
