14 182
0 1 12
0 2 48
0 3 79
0 4 94
0 5 100
0 6 62
0 7 24
0 8 78
0 9 26
0 10 95
0 11 21
0 12 90
0 13 13
1 0 12
1 2 97
1 3 69
1 4 52
1 5 15
1 6 53
1 7 94
1 8 87
1 9 53
1 10 96
1 11 60
1 12 31
1 13 95
2 0 48
2 1 97
2 3 30
2 4 22
2 5 9
2 6 16
2 7 66
2 8 2
2 9 89
2 10 72
2 11 90
2 12 23
2 13 49
3 0 79
3 1 69
3 2 30
3 4 18
3 5 95
3 6 37
3 7 70
3 8 52
3 9 82
3 10 89
3 11 34
3 12 44
3 13 39
4 0 94
4 1 52
4 2 22
4 3 18
4 5 3
4 6 71
4 7 52
4 8 35
4 9 67
4 10 92
4 11 6
4 12 72
4 13 71
5 0 100
5 1 15
5 2 9
5 3 95
5 4 3
5 6 84
5 7 67
5 8 27
5 9 29
5 10 62
5 11 41
5 12 23
5 13 73
6 0 62
6 1 53
6 2 16
6 3 37
6 4 71
6 5 84
6 7 97
6 8 73
6 9 35
6 10 28
6 11 50
6 12 85
6 13 88
7 0 24
7 1 94
7 2 66
7 3 70
7 4 52
7 5 67
7 6 97
7 8 38
7 9 9
7 10 13
7 11 53
7 12 74
7 13 24
8 0 78
8 1 87
8 2 2
8 3 52
8 4 35
8 5 27
8 6 73
8 7 38
8 9 12
8 10 67
8 11 9
8 12 7
8 13 3
9 0 26
9 1 53
9 2 89
9 3 82
9 4 67
9 5 29
9 6 35
9 7 9
9 8 12
9 10 95
9 11 1
9 12 13
9 13 7
10 0 95
10 1 96
10 2 72
10 3 89
10 4 92
10 5 62
10 6 28
10 7 13
10 8 67
10 9 95
10 11 36
10 12 69
10 13 73
11 0 21
11 1 60
11 2 90
11 3 34
11 4 6
11 5 41
11 6 50
11 7 53
11 8 9
11 9 1
11 10 36
11 12 56
11 13 83
12 0 90
12 1 31
12 2 23
12 3 44
12 4 72
12 5 23
12 6 85
12 7 74
12 8 7
12 9 13
12 10 69
12 11 56
12 13 42
13 0 13
13 1 95
13 2 49
13 3 39
13 4 71
13 5 73
13 6 88
13 7 24
13 8 3
13 9 7
13 10 73
13 11 83
13 12 42
9
