15 210
0 1 100
0 2 19
0 3 80
0 4 51
0 5 16
0 6 11
0 7 19
0 8 24
0 9 1
0 10 59
0 11 30
0 12 57
0 13 48
0 14 86
1 0 100
1 2 95
1 3 35
1 4 64
1 5 2
1 6 84
1 7 95
1 8 91
1 9 91
1 10 83
1 11 65
1 12 78
1 13 56
1 14 89
2 0 19
2 1 95
2 3 35
2 4 47
2 5 51
2 6 52
2 7 15
2 8 6
2 9 29
2 10 56
2 11 3
2 12 70
2 13 96
2 14 4
3 0 80
3 1 35
3 2 35
3 4 44
3 5 83
3 6 29
3 7 39
3 8 59
3 9 94
3 10 2
3 11 34
3 12 66
3 13 49
3 14 54
4 0 51
4 1 64
4 2 47
4 3 44
4 5 81
4 6 52
4 7 50
4 8 34
4 9 74
4 10 17
4 11 89
4 12 32
4 13 50
4 14 56
5 0 16
5 1 2
5 2 51
5 3 83
5 4 81
5 6 41
5 7 19
5 8 49
5 9 48
5 10 17
5 11 36
5 12 25
5 13 47
5 14 37
6 0 11
6 1 84
6 2 52
6 3 29
6 4 52
6 5 41
6 7 21
6 8 19
6 9 8
6 10 84
6 11 32
6 12 48
6 13 91
6 14 67
7 0 19
7 1 95
7 2 15
7 3 39
7 4 50
7 5 19
7 6 21
7 8 51
7 9 92
7 10 99
7 11 27
7 12 38
7 13 24
7 14 68
8 0 24
8 1 91
8 2 6
8 3 59
8 4 34
8 5 49
8 6 19
8 7 51
8 9 93
8 10 54
8 11 100
8 12 25
8 13 38
8 14 4
9 0 1
9 1 91
9 2 29
9 3 94
9 4 74
9 5 48
9 6 8
9 7 92
9 8 93
9 10 28
9 11 96
9 12 54
9 13 46
9 14 63
10 0 59
10 1 83
10 2 56
10 3 2
10 4 17
10 5 17
10 6 84
10 7 99
10 8 54
10 9 28
10 11 60
10 12 58
10 13 48
10 14 28
11 0 30
11 1 65
11 2 3
11 3 34
11 4 89
11 5 36
11 6 32
11 7 27
11 8 100
11 9 96
11 10 60
11 12 20
11 13 62
11 14 45
12 0 57
12 1 78
12 2 70
12 3 66
12 4 32
12 5 25
12 6 48
12 7 38
12 8 25
12 9 54
12 10 58
12 11 20
12 13 86
12 14 6
13 0 48
13 1 56
13 2 96
13 3 49
13 4 50
13 5 47
13 6 91
13 7 24
13 8 38
13 9 46
13 10 48
13 11 62
13 12 86
13 14 29
14 0 86
14 1 89
14 2 4
14 3 54
14 4 56
14 5 37
14 6 67
14 7 68
14 8 4
14 9 63
14 10 28
14 11 45
14 12 6
14 13 29
1
