15 210
0 1 828
0 2 3037
0 3 3183
0 4 1087
0 5 2159
0 6 637
0 7 4358
0 8 586
0 9 4776
0 10 64
0 11 730
0 12 1839
0 13 2682
0 14 1220
1 0 828
1 2 4887
1 3 510
1 4 1202
1 5 3447
1 6 4147
1 7 4322
1 8 514
1 9 3418
1 10 562
1 11 3866
1 12 902
1 13 3479
1 14 2157
2 0 3037
2 1 4887
2 3 2933
2 4 4248
2 5 3326
2 6 2319
2 7 2300
2 8 4263
2 9 3724
2 10 3992
2 11 3204
2 12 2892
2 13 504
2 14 1048
3 0 3183
3 1 510
3 2 2933
3 4 2889
3 5 2553
3 6 493
3 7 3891
3 8 400
3 9 424
3 10 679
3 11 4659
3 12 4559
3 13 2932
3 14 806
4 0 1087
4 1 1202
4 2 4248
4 3 2889
4 5 4816
4 6 625
4 7 4605
4 8 4039
4 9 2307
4 10 68
4 11 1027
4 12 4855
4 13 139
4 14 4106
5 0 2159
5 1 3447
5 2 3326
5 3 2553
5 4 4816
5 6 3203
5 7 527
5 8 4543
5 9 2457
5 10 2266
5 11 2227
5 12 2519
5 13 1011
5 14 265
6 0 637
6 1 4147
6 2 2319
6 3 493
6 4 625
6 5 3203
6 7 2633
6 8 1021
6 9 32
6 10 4804
6 11 4565
6 12 665
6 13 4436
6 14 3420
7 0 4358
7 1 4322
7 2 2300
7 3 3891
7 4 4605
7 5 527
7 6 2633
7 8 2829
7 9 1128
7 10 2607
7 11 973
7 12 1671
7 13 1364
7 14 4223
8 0 586
8 1 514
8 2 4263
8 3 400
8 4 4039
8 5 4543
8 6 1021
8 7 2829
8 9 555
8 10 3149
8 11 3776
8 12 1897
8 13 4882
8 14 44
9 0 4776
9 1 3418
9 2 3724
9 3 424
9 4 2307
9 5 2457
9 6 32
9 7 1128
9 8 555
9 10 3452
9 11 3630
9 12 1481
9 13 2032
9 14 3968
10 0 64
10 1 562
10 2 3992
10 3 679
10 4 68
10 5 2266
10 6 4804
10 7 2607
10 8 3149
10 9 3452
10 11 2642
10 12 1826
10 13 2764
10 14 2393
11 0 730
11 1 3866
11 2 3204
11 3 4659
11 4 1027
11 5 2227
11 6 4565
11 7 973
11 8 3776
11 9 3630
11 10 2642
11 12 2953
11 13 4687
11 14 4310
12 0 1839
12 1 902
12 2 2892
12 3 4559
12 4 4855
12 5 2519
12 6 665
12 7 1671
12 8 1897
12 9 1481
12 10 1826
12 11 2953
12 13 692
12 14 4281
13 0 2682
13 1 3479
13 2 504
13 3 2932
13 4 139
13 5 1011
13 6 4436
13 7 1364
13 8 4882
13 9 2032
13 10 2764
13 11 4687
13 12 692
13 14 2248
14 0 1220
14 1 2157
14 2 1048
14 3 806
14 4 4106
14 5 265
14 6 3420
14 7 4223
14 8 44
14 9 3968
14 10 2393
14 11 4310
14 12 4281
14 13 2248
7
