11 110
0 1 4892
0 2 4158
0 3 2142
0 4 4569
0 5 4166
0 6 3517
0 7 669
0 8 3351
0 9 2213
0 10 3892
1 0 4892
1 2 4714
1 3 3915
1 4 4980
1 5 802
1 6 2571
1 7 3588
1 8 2312
1 9 4770
1 10 865
2 0 4158
2 1 4714
2 3 1681
2 4 3004
2 5 4888
2 6 305
2 7 3453
2 8 2813
2 9 1125
2 10 4784
3 0 2142
3 1 3915
3 2 1681
3 4 4319
3 5 1142
3 6 2957
3 7 972
3 8 3815
3 9 4564
3 10 1862
4 0 4569
4 1 4980
4 2 3004
4 3 4319
4 5 1585
4 6 1642
4 7 3121
4 8 2958
4 9 1358
4 10 1449
5 0 4166
5 1 802
5 2 4888
5 3 1142
5 4 1585
5 6 2176
5 7 901
5 8 490
5 9 3560
5 10 4305
6 0 3517
6 1 2571
6 2 305
6 3 2957
6 4 1642
6 5 2176
6 7 3154
6 8 1795
6 9 2288
6 10 500
7 0 669
7 1 3588
7 2 3453
7 3 972
7 4 3121
7 5 901
7 6 3154
7 8 3634
7 9 1041
7 10 1485
8 0 3351
8 1 2312
8 2 2813
8 3 3815
8 4 2958
8 5 490
8 6 1795
8 7 3634
8 9 1612
8 10 2658
9 0 2213
9 1 4770
9 2 1125
9 3 4564
9 4 1358
9 5 3560
9 6 2288
9 7 1041
9 8 1612
9 10 4334
10 0 3892
10 1 865
10 2 4784
10 3 1862
10 4 1449
10 5 4305
10 6 500
10 7 1485
10 8 2658
10 9 4334
5
