13 156
0 1 4294
0 2 1853
0 3 2102
0 4 1585
0 5 2215
0 6 4380
0 7 3111
0 8 422
0 9 4397
0 10 4345
0 11 4412
0 12 1957
1 0 4294
1 2 3427
1 3 383
1 4 3692
1 5 2063
1 6 3437
1 7 1873
1 8 4146
1 9 3586
1 10 3417
1 11 2258
1 12 2580
2 0 1853
2 1 3427
2 3 2747
2 4 1398
2 5 2795
2 6 526
2 7 713
2 8 4983
2 9 1537
2 10 3722
2 11 2592
2 12 4690
3 0 2102
3 1 383
3 2 2747
3 4 4445
3 5 3255
3 6 4920
3 7 754
3 8 1560
3 9 4652
3 10 3454
3 11 503
3 12 1895
4 0 1585
4 1 3692
4 2 1398
4 3 4445
4 5 1644
4 6 181
4 7 356
4 8 1705
4 9 3841
4 10 1277
4 11 3260
4 12 4423
5 0 2215
5 1 2063
5 2 2795
5 3 3255
5 4 1644
5 6 1415
5 7 3107
5 8 1775
5 9 267
5 10 910
5 11 2437
5 12 3720
6 0 4380
6 1 3437
6 2 526
6 3 4920
6 4 181
6 5 1415
6 7 4494
6 8 1585
6 9 4105
6 10 190
6 11 320
6 12 773
7 0 3111
7 1 1873
7 2 713
7 3 754
7 4 356
7 5 3107
7 6 4494
7 8 2635
7 9 3156
7 10 4260
7 11 965
7 12 1550
8 0 422
8 1 4146
8 2 4983
8 3 1560
8 4 1705
8 5 1775
8 6 1585
8 7 2635
8 9 1234
8 10 2429
8 11 34
8 12 1945
9 0 4397
9 1 3586
9 2 1537
9 3 4652
9 4 3841
9 5 267
9 6 4105
9 7 3156
9 8 1234
9 10 1169
9 11 259
9 12 234
10 0 4345
10 1 3417
10 2 3722
10 3 3454
10 4 1277
10 5 910
10 6 190
10 7 4260
10 8 2429
10 9 1169
10 11 287
10 12 3619
11 0 4412
11 1 2258
11 2 2592
11 3 503
11 4 3260
11 5 2437
11 6 320
11 7 965
11 8 34
11 9 259
11 10 287
11 12 1592
12 0 1957
12 1 2580
12 2 4690
12 3 1895
12 4 4423
12 5 3720
12 6 773
12 7 1550
12 8 1945
12 9 234
12 10 3619
12 11 1592
4
