10 90
0 1 2854
0 2 1916
0 3 1147
0 4 3023
0 5 2928
0 6 3139
0 7 1553
0 8 1087
0 9 569
1 0 2854
1 2 1054
1 3 3220
1 4 739
1 5 3200
1 6 2666
1 7 1249
1 8 4862
1 9 2612
2 0 1916
2 1 1054
2 3 4227
2 4 2893
2 5 3000
2 6 3031
2 7 2640
2 8 4964
2 9 2010
3 0 1147
3 1 3220
3 2 4227
3 4 2672
3 5 365
3 6 2257
3 7 3382
3 8 278
3 9 3576
4 0 3023
4 1 739
4 2 2893
4 3 2672
4 5 1832
4 6 2873
4 7 4057
4 8 3336
4 9 3119
5 0 2928
5 1 3200
5 2 3000
5 3 365
5 4 1832
5 6 254
5 7 2906
5 8 2719
5 9 868
6 0 3139
6 1 2666
6 2 3031
6 3 2257
6 4 2873
6 5 254
6 7 2825
6 8 755
6 9 2258
7 0 1553
7 1 1249
7 2 2640
7 3 3382
7 4 4057
7 5 2906
7 6 2825
7 8 3779
7 9 3483
8 0 1087
8 1 4862
8 2 4964
8 3 278
8 4 3336
8 5 2719
8 6 755
8 7 3779
8 9 2747
9 0 569
9 1 2612
9 2 2010
9 3 3576
9 4 3119
9 5 868
9 6 2258
9 7 3483
9 8 2747
6
