25 600
0 1 2636
0 2 2068
0 3 1994
0 4 3635
0 5 2842
0 6 2516
0 7 1882
0 8 1129
0 9 1294
0 10 462
0 11 1105
0 12 3123
0 13 1509
0 14 3254
0 15 415
0 16 2957
0 17 2670
0 18 3214
0 19 1855
0 20 79
0 21 4535
0 22 1141
0 23 441
0 24 2191
1 0 2636
1 2 3341
1 3 1876
1 4 1204
1 5 1906
1 6 3226
1 7 3840
1 8 1441
1 9 3780
1 10 297
1 11 2044
1 12 2439
1 13 1848
1 14 2531
1 15 4281
1 16 1278
1 17 464
1 18 584
1 19 2647
1 20 3498
1 21 3158
1 22 1563
1 23 2769
1 24 1731
2 0 2068
2 1 3341
2 3 2719
2 4 1378
2 5 4195
2 6 3727
2 7 2172
2 8 4966
2 9 1746
2 10 2920
2 11 1902
2 12 4846
2 13 127
2 14 3346
2 15 2009
2 16 2689
2 17 3699
2 18 1893
2 19 3455
2 20 1362
2 21 2417
2 22 2127
2 23 4909
2 24 2774
3 0 1994
3 1 1876
3 2 2719
3 4 1135
3 5 2341
3 6 441
3 7 2748
3 8 971
3 9 4449
3 10 1160
3 11 2389
3 12 1221
3 13 2947
3 14 4796
3 15 1544
3 16 668
3 17 3425
3 18 4875
3 19 571
3 20 613
3 21 1593
3 22 1574
3 23 3118
3 24 1008
4 0 3635
4 1 1204
4 2 1378
4 3 1135
4 5 4087
4 6 3865
4 7 4501
4 8 1986
4 9 3011
4 10 3352
4 11 4450
4 12 114
4 13 4348
4 14 1332
4 15 1561
4 16 3075
4 17 3062
4 18 273
4 19 3814
4 20 2154
4 21 3350
4 22 4632
4 23 4404
4 24 1474
5 0 2842
5 1 1906
5 2 4195
5 3 2341
5 4 4087
5 6 141
5 7 482
5 8 1219
5 9 1919
5 10 1020
5 11 244
5 12 97
5 13 3262
5 14 3890
5 15 3272
5 16 4013
5 17 3097
5 18 1990
5 19 4030
5 20 4380
5 21 2805
5 22 4605
5 23 4636
5 24 2834
6 0 2516
6 1 3226
6 2 3727
6 3 441
6 4 3865
6 5 141
6 7 1669
6 8 4609
6 9 4163
6 10 1560
6 11 3442
6 12 3672
6 13 3360
6 14 2601
6 15 3064
6 16 163
6 17 4119
6 18 2724
6 19 2743
6 20 3114
6 21 840
6 22 1386
6 23 4399
6 24 4339
7 0 1882
7 1 3840
7 2 2172
7 3 2748
7 4 4501
7 5 482
7 6 1669
7 8 4463
7 9 3138
7 10 4651
7 11 2189
7 12 1757
7 13 4634
7 14 2471
7 15 3776
7 16 2840
7 17 3516
7 18 3563
7 19 2763
7 20 445
7 21 4199
7 22 3293
7 23 775
7 24 3023
8 0 1129
8 1 1441
8 2 4966
8 3 971
8 4 1986
8 5 1219
8 6 4609
8 7 4463
8 9 2217
8 10 187
8 11 627
8 12 1969
8 13 324
8 14 3685
8 15 4140
8 16 4952
8 17 417
8 18 174
8 19 1744
8 20 2614
8 21 2146
8 22 1592
8 23 3135
8 24 2514
9 0 1294
9 1 3780
9 2 1746
9 3 4449
9 4 3011
9 5 1919
9 6 4163
9 7 3138
9 8 2217
9 10 2336
9 11 3805
9 12 1505
9 13 116
9 14 1581
9 15 801
9 16 816
9 17 17
9 18 1731
9 19 2540
9 20 3121
9 21 4822
9 22 1232
9 23 1433
9 24 519
10 0 462
10 1 297
10 2 2920
10 3 1160
10 4 3352
10 5 1020
10 6 1560
10 7 4651
10 8 187
10 9 2336
10 11 2215
10 12 253
10 13 2695
10 14 2908
10 15 3683
10 16 3907
10 17 3138
10 18 4969
10 19 1076
10 20 388
10 21 3403
10 22 1795
10 23 1728
10 24 2515
11 0 1105
11 1 2044
11 2 1902
11 3 2389
11 4 4450
11 5 244
11 6 3442
11 7 2189
11 8 627
11 9 3805
11 10 2215
11 12 608
11 13 2577
11 14 1299
11 15 2041
11 16 1414
11 17 2430
11 18 3508
11 19 2458
11 20 3151
11 21 4930
11 22 4066
11 23 3385
11 24 1936
12 0 3123
12 1 2439
12 2 4846
12 3 1221
12 4 114
12 5 97
12 6 3672
12 7 1757
12 8 1969
12 9 1505
12 10 253
12 11 608
12 13 120
12 14 1324
12 15 4392
12 16 3071
12 17 1626
12 18 3899
12 19 3423
12 20 393
12 21 4023
12 22 2792
12 23 4025
12 24 4705
13 0 1509
13 1 1848
13 2 127
13 3 2947
13 4 4348
13 5 3262
13 6 3360
13 7 4634
13 8 324
13 9 116
13 10 2695
13 11 2577
13 12 120
13 14 4194
13 15 2591
13 16 3577
13 17 3835
13 18 2690
13 19 3611
13 20 3166
13 21 2236
13 22 3112
13 23 3662
13 24 1254
14 0 3254
14 1 2531
14 2 3346
14 3 4796
14 4 1332
14 5 3890
14 6 2601
14 7 2471
14 8 3685
14 9 1581
14 10 2908
14 11 1299
14 12 1324
14 13 4194
14 15 4404
14 16 257
14 17 2670
14 18 4292
14 19 4395
14 20 2837
14 21 1709
14 22 4768
14 23 1579
14 24 3583
15 0 415
15 1 4281
15 2 2009
15 3 1544
15 4 1561
15 5 3272
15 6 3064
15 7 3776
15 8 4140
15 9 801
15 10 3683
15 11 2041
15 12 4392
15 13 2591
15 14 4404
15 16 1412
15 17 3381
15 18 1978
15 19 4524
15 20 484
15 21 736
15 22 997
15 23 3470
15 24 925
16 0 2957
16 1 1278
16 2 2689
16 3 668
16 4 3075
