12 132
0 1 3259
0 2 3457
0 3 2255
0 4 2251
0 5 3062
0 6 162
0 7 61
0 8 4387
0 9 3045
0 10 3522
0 11 3260
1 0 3259
1 2 3195
1 3 3215
1 4 2531
1 5 2952
1 6 2476
1 7 4606
1 8 1850
1 9 1780
1 10 347
1 11 3702
2 0 3457
2 1 3195
2 3 3183
2 4 4467
2 5 3931
2 6 3860
2 7 776
2 8 2684
2 9 1486
2 10 2028
2 11 2619
3 0 2255
3 1 3215
3 2 3183
3 4 1641
3 5 2350
3 6 381
3 7 4577
3 8 2528
3 9 3351
3 10 1675
3 11 4659
4 0 2251
4 1 2531
4 2 4467
4 3 1641
4 5 344
4 6 217
4 7 181
4 8 462
4 9 4687
4 10 619
4 11 1347
5 0 3062
5 1 2952
5 2 3931
5 3 2350
5 4 344
5 6 4769
5 7 835
5 8 2370
5 9 943
5 10 3135
5 11 1955
6 0 162
6 1 2476
6 2 3860
6 3 381
6 4 217
6 5 4769
6 7 1188
6 8 2046
6 9 2685
6 10 2506
6 11 3109
7 0 61
7 1 4606
7 2 776
7 3 4577
7 4 181
7 5 835
7 6 1188
7 8 304
7 9 4546
7 10 1742
7 11 2625
8 0 4387
8 1 1850
8 2 2684
8 3 2528
8 4 462
8 5 2370
8 6 2046
8 7 304
8 9 3098
8 10 2660
8 11 2157
9 0 3045
9 1 1780
9 2 1486
9 3 3351
9 4 4687
9 5 943
9 6 2685
9 7 4546
9 8 3098
9 10 4123
9 11 188
10 0 3522
10 1 347
10 2 2028
10 3 1675
10 4 619
10 5 3135
10 6 2506
10 7 1742
10 8 2660
10 9 4123
10 11 1039
11 0 3260
11 1 3702
11 2 2619
11 3 4659
11 4 1347
11 5 1955
11 6 3109
11 7 2625
11 8 2157
11 9 188
11 10 1039
4
